number;Starch;Actual Starch;Protein;Actual Protein;Vitamin C;Actual Vitamin C;Na2SO4;Actual Na2SO4;Total Gams;Actual Grams;Subtraction;Column1;_1
1;0.282256557;0.284;3.642891644;3.644;1.932447785;1.9352;4.142404014;4.1422;10.0054;9.9144;0.091;cap with small bag;3.14
2;1.627929303;1.627;2.518513201;2.5187;4.365804066;4.367;1.487753429;1.489;10.0017;9.9585;0.0432;highest LOSS;0.2684
3;3.179028479;3.178;2.060004714;2.064;3.244680846;3.247;1.51628596;1.517;10.006;9.8515;0.1545;lowest LOSS;-0.0312
4;1.53265677;1.549;1.473509749;1.4738;0.30245844;0.303;6.691375041;6.694;10.0198;9.8298;0.19;;
5;1.533539526;1.56;2.763955068;2.766;3.445538548;3.4454;2.256966858;2.258;10.0294;9.761;0.2684;;
6;3.672481114;3.861;2.532739815;2.535;2.93384446;2.935;0.860934612;0.8612;10.1922;10.1885;0.0037;;
7;2.845206285;2.88;6.002586375;6.005;1.06318765;1.068;0.08901969;0.099;10.052;9.9604;0.0916;;
8;2.209544827;2.24;2.861200973;2.867;3.369601111;3.369;1.559653089;1.56;10.036;9.9575;0.0785;;
9;1.370074616;1.552;0.610174816;0.6114;1.932868895;1.939;6.086881674;6.099;10.2014;10.0771;0.1243;;
10;4.518736635;4.605;0.925501405;0.927;1.211027433;1.213;3.344734527;3.3455;10.0905;9.9775;0.113;;
11;0.148352238;0.162;0.227492431;0.221;1.405677588;1.4056;8.218477744;8.22;10.0086;9.8781;0.1305;;
12;2.174525683;2.203;2.199684348;2.1991;3.595177435;3.592;2.030612533;2.0304;10.0245;9.8425;0.182;;
13;2.482368686;2.493;3.052472747;3.054;2.10613131;2.109;2.359027257;2.359;10.015;10.0203;-0.0053;;
14;5.590273785;5.592;2.491407319;2.493;1.257298755;1.256;0.661020141;0.66;10.001;9.8772;0.1238;;
15;2.666155199;2.665;2.374593749;2.375;3.089237444;3.081;1.871168623;1.8711;9.9921;9.9191;0.073;;
16;3.371313904;3.376;3.223016735;3.2239;2.114986583;2.117;2.139105763;2.139;10.8559;10.8871;-0.0312;;
17;2.108592916;2.105;5.522370253;5.5241;1.716091719;1.715;0.652945113;0.656;10.0001;10.0096;-0.0095;;
18;2.247821711;2.245;3.343692565;3.3457;1.422445617;1.423;2.986040108;2.9857;9.9994;9.9079;0.0915;;
19;3.54358803;3.544;0.580098658;0.585;2.695698074;2.696;3.180615238;3.184;10.009;9.8269;0.1821;;
20;2.35337441;2.3538;2.243951692;2.249;3.238529268;3.2384;2.16414463;2.161;10.0022;9.8811;0.1211;;
