,Actual Starch,Actual Protein,Actual Vitamin C,Actual Na2SO4
1,0.284,3.644,1.9352,4.1422
2,1.627,2.5187,4.367,1.489
3,3.178,2.064,3.247,1.517
4,1.549,1.4738,0.303,6.694
5,1.56,2.766,3.4454,2.258
6,3.861,2.535,2.935,0.8612
7,2.88,6.005,1.068,0.099
8,2.24,2.867,3.369,1.56
9,1.552,0.6114,1.939,6.099
10,4.605,0.927,1.213,3.3455
11,0.162,0.221,1.4056,8.22
12,2.203,2.1991,3.592,2.0304
13,2.493,3.054,2.109,2.359
14,5.592,2.493,1.256,0.66
15,2.665,2.375,3.081,1.8711
16,3.376,3.2239,2.117,2.139
17,2.105,5.5241,1.715,0.656
18,2.245,3.3457,1.423,2.9857
19,3.544,0.585,2.696,3.184
20,2.3538,2.249,3.2384,2.161
